Ort;Ortstyp;Typ;X;Y;Wikipedia;Kommentar
Langenfeld;feld;a;6.94700;51.10200;https://de.wikipedia.org/wiki/Langenfeld_(Rheinland);
Langenfeld;feld;a;7.093889;50.376389;https://de.wikipedia.org/wiki/Langenfeld_(Eifel);
Langenfeld;feld;a;10.516667;49.616667;https://de.wikipedia.org/wiki/Langenfeld_(Mittelfranken);
Langenfeld;feld;a;10.210061;50.791504;https://de.wikipedia.org/wiki/Langenfeld_(Bad_Salzungen);Stadtteil von Bad Salzungen (Thüringen)
Langenfeld;feld;a;9.2500;52.166667;https://de.wikipedia.org/wiki/Hessisch_Oldendorf;Stadtteil von Hessisch Oldendorf (Niedersachsen)
Lengenfeld;feld;e;12.366667;50.566667;https://de.wikipedia.org/wiki/Lengenfeld_(Vogtland);
Lengenfeld;feld;e;9.013611;48.042778;https://de.wikipedia.org/wiki/Leibertingen;Ortsteil von Leibertingen (Baden-Württemberg)
Lengenfeld;feld;e;10.871667;49.005556;https://de.wikipedia.org/wiki/Lengenfeld_(Alesheim);Ortsteil von Alesheim (Bayern)
Lengenfeld;feld;e;11.901944;49.407778;https://de.wikipedia.org/wiki/Lengenfeld_(K%C3%BCmmersbruck);Ortsteil von Kümmersbruck (Bayern)
Lengenfeld;feld;e;10.481667;49.298611;https://de.wikipedia.org/wiki/Lengenfeld_(Leutershausen);Ortsteil von Leutershausen (Bayern)
Lengenfeld;feld;e;10.780033;7.946614;https://de.wikipedia.org/wiki/Lengenfeld_(Oberostendorf);Gemeindeteil von Oberostendorf (Bayern)
Lengenfeld;feld;e;10.927438;48.003405;https://de.wikipedia.org/wiki/Lengenfeld_(P%C3%BCrgen);Ortsteil von Pürgen (Bayern)
Lengenfeld;feld;e;12.28500;49.839167;https://de.wikipedia.org/wiki/Lengenfeld_bei_Tirschenreuth;Gemeindeteil von Tirschenreuth (Bayern)
Lengenfeld;feld;e;11.630556;49.238333;https://de.wikipedia.org/wiki/Lengenfeld_(Velburg);Ortsteil von Velburg (Bayern)
Lengenfeld;feld;e;12.062778;49.977778;https://de.wikipedia.org/wiki/Waldershof;Ortsteil von Waldershof (Bayern)
Lengenfeld unterm Stein;feld;e;10.221667;51.214722;https://de.wikipedia.org/wiki/Lengenfeld_unterm_Stein;
Lengenfeld;feld;e;15.583333;48.466667;https://de.wikipedia.org/wiki/Lengenfeld_(Nieder%C3%B6sterreich);Niederösterreich
Längenfeld;feld;e;10.966667;47.066667;https://de.wikipedia.org/wiki/L%C3%A4ngenfeld;Tirol
Lengenbach;bach;e;11.5375;49.259444;https://de.wikipedia.org/wiki/Lengenbach;Einöde der Gemeinde Deining (Bayern)
Längenbach;bach;e;16.01500;47.226389;https://de.wikipedia.org/wiki/Buch-St._Magdalena;Ortsteil von Buch-St. Magdalena (Steiermark)
Längenbach;bach;e;7.741944;46.966386;https://de.wikipedia.org/wiki/Lauperswil;Ortsteil von Lauperswil (Kt. Bern)
Langenbach;bach;a;11.8500;48.433333;https://de.wikipedia.org/wiki/Langenbach_(Oberbayern);Gemeinde in Oberbayern
Langenbach;bach;a;7.329167;49.492778;https://de.wikipedia.org/wiki/Langenbach_(Pfalz);Ortsgemeinde in Rheinland-Pfalz
Langenbach bei Kirburg;bach;a;7.936667;50.703889;https://de.wikipedia.org/wiki/Langenbach_bei_Kirburg;Ortsgemeinde Rheinland-Pfalz
Langenbach;bach;a;7.952222;50.651944;https://de.wikipedia.org/wiki/Bad_Marienberg_(Westerwald);Ortsteil von Bad Marienberg (Westerwald)
Langenbach;bach;a;7.713611;50.746389;https://de.wikipedia.org/wiki/Bruchertseifen;Ortsteil von Bruchertseifen (Rheinland-Pfalz)
Langenbach;bach;a;11.59459;50.37159;https://de.wikipedia.org/wiki/Langenbach_(Geroldsgr%C3%BCn);Gemeindeteil von Geroldsgrün (Bayern)
Langenbach;bach;a;12.604444;50.628333;https://de.wikipedia.org/wiki/Langenwei%C3%9Fbach;Ortsteil von Langenweißbach (Sachsen)
Langenbach;bach;a;11.65800;50.18200;https://de.wikipedia.org/wiki/Langenbacher_Brunnen;abgegangene Gemeinde (Bayern)
Langenbach;bach;a;7.864682;50.866204;https://de.wikipedia.org/wiki/Langenbach_(Niederfischbach);Weiler zur Gemeinde Niederfischbach (Rheinland-Pfalz)
Langenbach;bach;a;7.540556;50.871111;https://de.wikipedia.org/wiki/Langenbach_(N%C3%BCmbrecht);Ortsteil von Nümbrecht (NRW)
Langenbach;bach;a;11.894444;50.5325;https://de.wikipedia.org/wiki/Langenbach_(Pausa-M%C3%BChltroff);Ortsteil von Pausa-Mühltroff (Sachsen)
Langenbach;bach;a;10.848056;50.513333;https://de.wikipedia.org/wiki/Langenbach_(Schleusegrund);Ortsteil von Schleusegrund (Thüringen)
Langenbach;bach;a;11.595044;50.371945;https://de.wikipedia.org/wiki/Langenbach_(Schwarzenbach_an_der_Saale);Ortsteil von Schwarzenbach a.d. Saale (Bayern)
Langenbach;bach;a;8.304444;48.045278;https://de.wikipedia.org/wiki/V%C3%B6hrenbach;Ortsteil von Vöhrenbach
Langenbach;bach;a;14.9500;48.2775;https://de.wikipedia.org/wiki/Waldhausen_im_Strudengau;Ortsteil von Waldhausen im Strudengau (Oberösterreich)
Langenbach;bach;a;8.376389;50.398056;https://de.wikipedia.org/wiki/Langenbach_(Weilm%C3%BCnster);Ortsteil von Weilmünster (Hessen)
